1,3,4,6,7,107,105,106,10,11,114,115,116,117,118,119,120,0,121,300
1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2
1,1,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
101,3,4,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
302,5,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
6,6,6,103,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
108,108,108,108,108,8,108,108,108,108,108,108,108,108,108,108,108,108,108,108
8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
304,304,304,304,104,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
111,111,111,111,111,111,111,111,111,109,111,111,111,111,111,111,111,111,110,111
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,112,113
