1,3,4,6,7,121,106,107,108,109,110,111,112,113,114,115,10,11,122,300 
1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,100
1,1,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301
101,3,4,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
302,5,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
6,6,6,103,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
104,104,104,104,104,8,104,104,104,104,104,104,104,104,104,104,104,104,104,104
8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
303,303,303,303,105,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,116,117,118,117,117
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,119,120,120,120,120
